id,season_id,utc_date,status,matchday,home_team_id,away_team_id,home_score,away_score,winner,competition_id
432387,1557,2023-05-13T19:00:00Z,FINISHED,37,1777,1783,2.0,3.0,AWAY_TEAM,2013
432391,1557,2023-05-13T21:30:00Z,FINISHED,37,1765,4289,2.0,0.0,HOME_TEAM,2013
432393,1557,2023-05-13T21:30:00Z,FINISHED,37,1769,4286,1.0,1.0,DRAW,2013
432396,1557,2023-05-14T00:00:00Z,FINISHED,37,1766,6684,2.0,0.0,HOME_TEAM,2013
432390,1557,2023-05-14T19:00:00Z,FINISHED,37,1767,3984,0.0,0.0,DRAW,2013
432392,1557,2023-05-14T19:00:00Z,FINISHED,37,1780,6685,0.0,1.0,AWAY_TEAM,2013
432394,1557,2023-05-14T19:00:00Z,FINISHED,37,1779,1776,1.0,1.0,DRAW,2013
432388,1557,2023-05-14T21:30:00Z,FINISHED,37,1838,1771,0.0,4.0,AWAY_TEAM,2013
432389,1557,2023-05-14T21:30:00Z,FINISHED,37,1768,4241,3.0,2.0,HOME_TEAM,2013
432395,1557,2023-05-14T21:30:00Z,FINISHED,37,4250,1770,2.0,1.0,HOME_TEAM,2013
432378,1557,2023-05-20T19:00:00Z,FINISHED,37,1777,4250,1.0,1.0,DRAW,2013
432384,1557,2023-05-20T21:30:00Z,FINISHED,37,4286,1768,2.0,0.0,HOME_TEAM,2013
432377,1557,2023-05-20T21:30:00Z,FINISHED,37,1838,3984,2.0,1.0,HOME_TEAM,2013
432379,1557,2023-05-20T21:30:00Z,FINISHED,37,4241,1766,1.0,2.0,AWAY_TEAM,2013
432381,1557,2023-05-20T21:30:00Z,FINISHED,37,1770,1765,1.0,0.0,HOME_TEAM,2013
432382,1557,2023-05-20T21:30:00Z,FINISHED,37,1776,1780,4.0,2.0,HOME_TEAM,2013
432383,1557,2023-05-21T00:00:00Z,FINISHED,37,6685,1769,0.0,0.0,DRAW,2013
432380,1557,2023-05-21T19:00:00Z,FINISHED,37,1783,1779,1.0,0.0,HOME_TEAM,2013
432386,1557,2023-05-21T21:30:00Z,FINISHED,37,1767,6684,3.0,1.0,HOME_TEAM,2013
432385,1557,2023-05-22T23:00:00Z,FINISHED,37,1771,4289,0.0,1.0,AWAY_TEAM,2013
432368,1557,2023-05-27T19:00:00Z,FINISHED,37,3984,1780,2.0,0.0,HOME_TEAM,2013
432369,1557,2023-05-27T19:00:00Z,FINISHED,37,1768,1767,1.0,2.0,AWAY_TEAM,2013
432367,1557,2023-05-27T21:30:00Z,FINISHED,37,4289,4241,1.0,1.0,DRAW,2013
